Year,Event,Category,Days_to_Adoption,Impact,adoption_metric_type,comparability_level,source_id,confidence,comparability_notes,notes
1957,FORTRAN Compiler (IBM),Software/Compiler,3650,High,developers,rough_analogy,asymco,low,Developer adoption is not equivalent to consumer users,Proxy for early software ecosystem scale.
1969,ARPANET launch,Internet/Web,3650,High,organizations,rough_analogy,asymco,low,Research-network node growth is not equivalent to consumer users,Proxy for institutional network adoption.
1971,Intel 4004 Microprocessor,Hardware,1825,Medium,devices,rough_analogy,asymco,low,Chip ecosystem shipment scale is not equivalent to users,Proxy for hardware diffusion.
1975,Microsoft BASIC / Altair 8800,Software/Compiler,1825,Medium,developers,rough_analogy,asymco,low,Hobbyist/developer adoption differs from users,Proxy for personal computing developer ecosystem.
1981,IBM PC release,Hardware,1460,High,devices,rough_analogy,asymco,medium,Device sales are not user accounts,Proxy for PC-era adoption.
1984,Apple Macintosh (GUI),Hardware,1825,High,devices,rough_analogy,asymco,medium,Device sales are not user accounts,Proxy for GUI adoption.
1989,World Wide Web proposed (Berners-Lee),Internet/Web,1460,Transformative,users,rough_analogy,statista,medium,Early web adoption estimates are approximate,Proxy for web user scale.
1995,Windows 95 + Netscape boom,Internet/Web,730,High,users,comparable_proxy,statista,medium,Consumer software/web use closer to user-count metric,Approximate mass-market scale.
1998,Google Search public,Internet/Web,1095,High,users,comparable_proxy,statista,medium,Search users approximate consumer reach,Approximate user scale.
2004,Facebook launch,Social/Apps,365,Transformative,accounts,comparable_proxy,statista,medium,Accounts are closer to users but can include duplicates,Social account growth proxy.
2006,AWS public cloud launch,Cloud/Infrastructure,1095,Transformative,organizations,rough_analogy,asymco,medium,Cloud organization adoption differs from consumer users,Infrastructure adoption proxy.
2007,iPhone (1st gen) + App Store (2008),Mobile,730,Transformative,devices,comparable_proxy,statista,medium,Device sales approximate users but not identical,Mobile ecosystem scale proxy.
2008,Android Market / App ecosystem,Mobile,365,High,devices,comparable_proxy,statista,medium,Install base and accounts differ,Mobile ecosystem scale proxy.
2010,Instagram launch,Social/Apps,270,High,accounts,comparable_proxy,statista,medium,Accounts approximate users but can duplicate,Social app account scale.
2012,Hadoop / Big Data maturity in cloud,Cloud/Infrastructure,730,Medium,organizations,rough_analogy,asymco,low,Enterprise adoption not consumer user adoption,Proxy for data infrastructure adoption.
2016,TikTok global launch,Social/Apps,180,High,accounts,comparable_proxy,statista,medium,Accounts approximate users but can duplicate,Consumer app scale.
2022,ChatGPT public launch,AI/Agentic,60,Transformative,users,strict_proxy,epoch,high,Public user-count reporting is closest to the metric,Consumer AI adoption proxy.
2023,Grok (xAI) public on X,AI/Agentic,180,High,accounts,comparable_proxy,epoch,low,Platform exposure differs from direct active users,AI product distribution proxy.
2024,o1 / Claude 3.5 / Gemini 1.5 reasoning models,AI/Agentic,90,High,accounts,rough_analogy,epoch,low,Multiple products and access models combined,Frontier AI adoption proxy.
2025,Agentic AI tools scale (Devin-like),AI/Agentic,21,Transformative,organizations,projection,source_review_needed,low,Projected organization/tool adoption is not consumer user adoption,Projection pending source review.
2026,GPT-5.4 (OpenAI) public release,AI/Agentic,21,Transformative,users,projection,source_review_needed,speculative,Projected future user adoption,Speculative projection.
2026,Gemini 3.1 Pro public preview (Google),AI/Agentic,30,High,users,projection,source_review_needed,speculative,Projected future preview adoption,Speculative projection.
2026,Claude Opus 4.7 (Anthropic) released Apr 16 2026,AI/Agentic,21,High,users,projection,source_review_needed,speculative,Projected future user adoption,Speculative projection.
2026,Projected omni-modal / recursive agents,AI/Agentic,14,Speculative Transformative,users,projection,source_review_needed,speculative,Speculative future category,Speculative projection.
