entity,year,flops,impact,notes
AlexNet 2012,2012,6e17,High,"Deep learning breakthrough; ImageNet"
GPT-2 2019,2019,1e19,High,"Emergent scaling behaviors"
GPT-3 2020,2020,3.14e23,Transformative,"175B params; few-shot learning"
GPT-4 2023,2023,2e25,Transformative,"Multimodal frontier"
Grok-4 2026,2026,5e26,Transformative,"Projected frontier model"
LLaMA 4 Scout 2025,2025,4e25,High,"109B MoE open-weights model"
Gemini 3.1 Pro 2026,2026,3e26,Transformative,"77.1% ARC-AGI-2; 2× prior gen; 1M context"
GPT-5.4 2026,2026,1e26,High,"Released Mar 5 2026; native multimodal; 1M context"
Claude Opus 4.7 2026,2026,1e26,Transformative,"87.6% SWE-bench Verified; released Apr 16 2026"
Claude Mythos Preview 2026,2026,2e26,Speculative Transformative,"Invite-only; 73% expert cyber tasks; inflection point"
GPT-5.5 Spud 2026,2026,5e27,Speculative Transformative,"Pretraining complete Mar 24 2026; in safety eval; ~5-6T MoE"
